Date,Demand
18-07-13,19361
18-07-13,19776
18-07-13,20451
18-07-13,20671
18-07-13,20933
18-07-13,20867
18-07-13,20625
18-07-13,20692
18-07-13,20746
18-07-13,20778
18-07-13,20571
18-07-13,20349
18-07-13,19248
18-07-13,17646
18-07-13,16207
18-07-14,15284
18-07-14,14574
18-07-14,14128
18-07-14,13869
18-07-14,13851
18-07-14,14012
18-07-14,14717
18-07-14,15844
18-07-14,17099
18-07-14,18141
18-07-14,18900
18-07-14,19148
18-07-14,19160
18-07-14,18976
18-07-14,19010
18-07-14,19178
18-07-14,19269
18-07-14,19052
18-07-14,18801
18-07-14,18470
18-07-14,18447
18-07-14,17830
18-07-14,16711
18-07-14,15482
18-07-15,14734
18-07-15,14106
18-07-15,13729
18-07-15,13503
18-07-15,13499
18-07-15,13385
18-07-15,14204
18-07-15,15529
18-07-15,16787
18-07-15,17852
18-07-15,18705
18-07-15,19373
18-07-15,19760
18-07-15,20177
18-07-15,20297
18-07-15,20898
18-07-15,21270
18-07-15,21508
18-07-15,21359
18-07-15,20964
18-07-15,20717
18-07-15,19755
18-07-15,18436
18-07-15,16796
18-07-16,15942
18-07-16,15280
18-07-16,14822
18-07-16,14692
18-07-16,14971
18-07-16,15829
18-07-16,17512
18-07-16,18848
18-07-16,19801
18-07-16,20731
18-07-16,21175
18-07-16,21536
18-07-16,21399
18-07-16,21022
18-07-16,20664
18-07-16,20794
18-07-16,21076
18-07-16,20578
18-07-16,20246
18-07-16,20079
18-07-16,20045
18-07-16,18945
18-07-16,17373
18-07-16,16251
18-07-17,15465
18-07-17,14700
18-07-17,14380
18-07-17,14088
18-07-17,14245
18-07-17,15039
18-07-17,16358
18-07-17,17510
18-07-17,17839
18-07-17,18126
18-07-17,18270
18-07-17,18299
18-07-17,18575
18-07-17,18562
18-07-17,18786
18-07-17,19105
18-07-17,19462
18-07-17,19655
18-07-17,19450
18-07-17,18953
18-07-17,18506
18-07-17,17224
18-07-17,15657
18-07-17,14355
18-07-18,13516
18-07-18,13192
18-07-18,12914
18-07-18,12802
18-07-18,13191
18-07-18,13805
18-07-18,15193
18-07-18,15883
18-07-18,16004
18-07-18,16210
18-07-18,16516
18-07-18,16629
18-07-18,16799
18-07-18,16888
18-07-18,17107
18-07-18,17686
18-07-18,18479
18-07-18,18668
18-07-18,18837
18-07-18,18407
18-07-18,17914
18-07-18,16932
18-07-18,15395
