Date,HOEP
18-05-09,-0.26
18-05-09,3.53
18-05-09,9.05
18-05-09,8.45
18-05-09,6.8
18-05-09,17.83
18-05-09,0
18-05-09,0
18-05-09,0.49
18-05-09,3.34
18-05-09,21.63
18-05-09,31
18-05-09,12.42
18-05-09,20.91
18-05-09,5.96
18-05-09,2.45
18-05-09,0
18-05-09,-0.81
18-05-09,-3.33
18-05-10,-3.87
18-05-10,-3.92
18-05-10,-4.03
18-05-10,-4
18-05-10,-3.92
18-05-10,-1.7
18-05-10,0
18-05-10,0
18-05-10,3.4
18-05-10,4.89
18-05-10,13.31
18-05-10,9.07
18-05-10,7.07
18-05-10,7.7
18-05-10,0
18-05-10,0
18-05-10,0
18-05-10,0
18-05-10,0
18-05-10,0
18-05-10,0.48
18-05-10,-0.02
18-05-10,-1.3
18-05-10,-3.5
18-05-11,-3.93
18-05-11,-3.42
18-05-11,-3.42
18-05-11,-2.94
18-05-11,-2.03
18-05-11,-0.38
18-05-11,3.89
18-05-11,5.89
18-05-11,5.87
18-05-11,6.25
18-05-11,12.77
18-05-11,13.89
18-05-11,14.21
18-05-11,15.26
18-05-11,10.9
18-05-11,7.92
18-05-11,10.72
18-05-11,13.34
18-05-11,15.83
18-05-11,27.75
18-05-11,17.94
18-05-11,11.53
18-05-11,9.57
18-05-11,7.75
18-05-12,9.61
18-05-12,1.89
18-05-12,0.86
18-05-12,-0.01
18-05-12,4.17
18-05-12,1.41
18-05-12,5.28
18-05-12,19.23
18-05-12,35.54
18-05-12,161.67
18-05-12,18.32
18-05-12,5.84
18-05-12,5.81
18-05-12,5.05
18-05-12,-0.03
18-05-12,0.95
18-05-12,5.61
18-05-12,15.54
18-05-12,143.4
18-05-12,60.83
18-05-12,5.01
18-05-12,7.33
18-05-12,2.9
18-05-12,3.88
18-05-13,5.31
18-05-13,2.35
18-05-13,-1.41
18-05-13,-0.03
18-05-13,4.23
18-05-13,-2.19
18-05-13,1.35
18-05-13,5.8
18-05-13,-1.37
18-05-13,-0.71
18-05-13,-3
18-05-13,-3
18-05-13,0.39
18-05-13,5.78
18-05-13,5.82
18-05-13,0.67
18-05-13,6.54
18-05-13,7.88
18-05-13,67.01
18-05-13,44.67
18-05-13,14.61
18-05-13,15.25
18-05-13,12.96
18-05-13,4.6
18-05-14,2.9
18-05-14,-0.01
18-05-14,0
18-05-14,-3.17
18-05-14,0.82
18-05-14,19.21
18-05-14,28.69
18-05-14,16.49
18-05-14,12.94
18-05-14,19.82
18-05-14,23.59
18-05-14,13.06
18-05-14,5.87
18-05-14,8.71
18-05-14,12.66
18-05-14,5.84
18-05-14,6.99
18-05-14,5.76
18-05-14,8.65
